university,year,rank_display,score,link,country,city,region,type,student_faculty_ratio,size
King Abdulaziz University (KAU),2017,283,37.6,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,Saudi Arabia,Jeddah,Asia,Public,8,XL
Dalhousie University,2017,283,37.6,https://www.topuniversities.com/universities/dalhousie-university,Canada,Halifax,North America,Public,14,L
University of South Australia,2017,288,37.4,https://www.topuniversities.com/universities/university-south-australia,Australia,Magill,Oceania,Public,13,L
Universiti Teknologi Malaysia ,2017,288,37.4,https://www.topuniversities.com/universities/universiti-teknologi-malaysia,Malaysia,Skudai,Asia,Public,11,L
University of St.Gallen (HSG),2017,288,37.4,https://www.topuniversities.com/universities/university-stgallen-hsg,Switzerland,St. Gallen,Europe,Public,20,M
Indiana University Bloomington,2017,291,37.3,https://www.topuniversities.com/universities/indiana-university-bloomington,United States,Bloomington,North America,Public,11,XL
University of Ottawa,2017,291,37.3,https://www.topuniversities.com/universities/university-ottawa,Canada,Ottawa,North America,Public,22,XL
Novosibirsk State University,2017,291,37.3,https://www.topuniversities.com/universities/novosibirsk-state-university,Russia,Novosibirsk ,Europe,Public,6,M
Westfälische Wilhelms-Universität Münster ,2017,294,37.2,https://www.topuniversities.com/universities/westfalische-wilhelms-universitat-munster,Germany,Münster,Europe,Public,10,XL
Umea University,2017,294,37.2,https://www.topuniversities.com/universities/umea-university,Sweden,Umeå,Europe,Public,7,L
"University of California, Santa Cruz",2017,296,37.1,https://www.topuniversities.com/universities/university-california-santa-cruz,United States,Santa Cruz,North America,Public,18,L
Sun Yat-sen University,2017,297,37,https://www.topuniversities.com/universities/sun-yat-sen-university,China (Mainland),Guangzhou,Asia,Public,8,XL
Hiroshima University,2017,297,37,https://www.topuniversities.com/universities/hiroshima-university,Japan,Higashihiroshima City,Asia,Public,6,L
Universität Innsbruck,2017,299,36.9,https://www.topuniversities.com/universities/universitat-innsbruck,Austria,Innsbruck,Europe,Public,8,L
Boston College,2017,299,36.9,https://www.topuniversities.com/universities/boston-college,United States,Newton,North America,Private,13,L
Rutgers University–New Brunswick,2017,301,36.8,https://www.topuniversities.com/universities/rutgers-university-new-brunswick,United States,New Brunswick,North America,Public,9,XL
Charles University,2017,302,36.7,https://www.topuniversities.com/universities/charles-university,Czech Republic,Prague,Europe,Public,9,XL
